Computer_Idn,SystemFailures_Idn,LastDate,Count30Day,Count90Day
165,2745,2018-06-18 01:56:56.000,0,1
189,2308,2018-02-25 11:06:22.000,0,0
192,102,2018-08-10 21:31:44.000,1,5
199,2570,2018-08-07 08:23:04.000,1,1
201,2668,2018-07-12 05:05:32.000,1,5
205,107,2018-08-17 08:27:00.000,2,2
272,1085,2017-11-08 06:16:54.000,0,0
289,108,2016-05-22 03:04:10.000,0,0
290,1503,2017-07-09 15:37:36.000,0,0
302,2408,2018-03-23 08:22:46.000,0,0
308,991,2018-02-12 02:22:28.000,0,0
328,473,1979-11-30 01:00:00.000,1,1
339,249,2018-06-11 06:09:20.000,0,2
345,145,2015-01-10 11:22:52.000,0,0
358,148,2016-04-14 14:03:30.000,0,0
362,1532,2017-07-03 03:01:46.000,0,0
372,1944,2018-08-10 07:07:22.000,1,1
378,2445,2018-08-17 21:58:44.000,2,2
383,1538,2017-07-05 04:54:20.000,0,0
400,2743,2018-08-08 02:12:24.000,1,1
411,175,2018-06-01 13:55:42.000,0,2
421,2439,2018-04-02 11:33:26.000,0,0
422,668,2016-11-10 08:41:10.000,0,0
425,2039,2018-04-21 08:29:28.000,0,0
449,131,2018-02-22 20:32:34.000,0,0
451,176,2017-03-20 14:33:38.000,0,0
455,142,2018-01-15 16:41:24.000,0,0
478,1554,2017-08-05 21:16:52.000,0,0
481,1373,2017-05-24 09:02:38.000,0,0
484,156,2018-07-26 08:26:22.000,1,2
506,793,2018-04-12 09:17:18.000,0,0
519,165,2018-05-18 12:04:36.000,0,0
527,141,2017-08-28 13:26:20.000,0,0
581,2931,2018-07-24 19:40:22.000,1,1
594,2505,2017-08-19 11:18:08.000,0,0
613,481,2015-08-06 12:06:52.000,0,0
629,157,2018-07-12 18:25:52.000,0,1
665,255,2018-05-18 07:32:26.000,0,0
671,225,2018-04-27 09:56:44.000,0,0
682,232,2017-10-26 11:28:40.000,0,0
706,233,2016-06-07 11:11:14.000,0,0
757,2906,2014-07-23 18:11:52.000,0,0
763,198,2018-07-18 13:34:26.000,0,1
767,199,2018-07-29 15:40:16.000,1,2
768,209,2017-05-10 12:12:52.000,0,0
779,204,2017-06-04 01:45:34.000,0,0
785,213,2018-07-26 00:36:18.000,1,1
793,451,2017-11-17 10:06:04.000,0,0
805,664,2018-01-26 09:45:30.000,0,0
834,254,2018-06-14 10:13:40.000,0,1
848,495,2017-09-18 07:00:12.000,0,0
858,1096,2018-07-10 00:38:28.000,1,2
876,2674,2018-05-30 14:56:40.000,0,1
895,268,2018-02-21 12:13:40.000,0,0
904,489,2017-05-05 09:34:08.000,0,0
906,539,2018-05-08 03:28:42.000,0,0
933,1930,2017-10-30 23:28:36.000,0,0
937,337,2018-07-03 11:26:26.000,0,1
948,1067,2017-06-04 05:28:24.000,0,0
951,805,2018-04-25 12:46:20.000,0,0
952,2897,2018-07-19 01:22:48.000,0,1
974,1139,2018-07-10 05:01:46.000,0,1
978,1231,2018-03-30 05:58:08.000,0,0
993,1809,2017-09-21 09:42:12.000,0,0
1003,1776,2017-12-14 18:41:36.000,0,0
1013,612,2018-08-01 00:56:28.000,1,4
1014,1143,2018-01-05 12:09:40.000,0,0
1019,647,2018-08-16 10:08:20.000,2,2
1023,333,2018-03-07 18:48:58.000,0,0
1024,2956,2018-07-27 06:10:08.000,1,1
1041,639,2018-05-31 09:17:24.000,0,1
1042,3058,2018-08-20 02:47:08.000,1,1
1048,652,2018-08-10 01:10:10.000,1,2
1050,343,2017-04-24 01:29:00.000,0,0
1083,1620,2018-08-01 00:50:40.000,1,1
1086,1052,2018-01-19 04:14:02.000,0,0
1092,2271,2018-02-08 08:19:54.000,0,0
1118,2768,2018-06-20 06:06:18.000,0,1
1132,562,2017-07-03 12:34:28.000,0,0
1141,425,2018-08-11 17:06:38.000,1,5
1143,387,2012-09-26 12:14:56.000,0,0
1159,3064,2018-08-20 14:48:30.000,1,1
1176,778,2018-03-27 15:52:46.000,0,0
1241,1707,2017-09-03 17:48:30.000,0,0
1255,2181,2017-01-27 05:05:56.000,0,0
1260,465,2018-05-25 02:29:32.000,0,1
1261,2190,2018-05-08 01:12:26.000,0,0
1266,2863,2017-10-02 02:36:36.000,0,0
1282,1203,2018-04-25 13:48:30.000,0,0
1294,1839,2017-09-27 15:04:32.000,0,0
1306,2868,2018-07-12 11:25:18.000,0,2
1356,3066,2018-08-20 08:23:40.000,2,2
1374,2925,2018-07-24 05:02:46.000,1,1
1377,3057,2018-08-19 23:55:40.000,1,1
1404,2571,2018-05-09 08:34:06.000,0,0
1417,703,2017-08-04 10:06:58.000,0,0
1437,2384,2017-09-12 12:03:48.000,0,0
1467,2032,2018-02-03 09:49:42.000,0,0
1487,1585,2018-08-09 00:27:10.000,1,1
1567,1840,2018-07-27 09:17:20.000,1,1
1616,957,2018-06-03 14:07:54.000,0,1
1631,2946,2018-07-26 09:22:42.000,4,4
1639,785,2018-07-09 01:31:56.000,0,3
1644,656,2017-03-24 15:08:12.000,0,0
1669,3068,2018-08-20 03:49:52.000,1,1
1699,2574,2018-08-16 10:52:00.000,1,3
1700,1446,2017-07-10 09:09:20.000,0,0
1707,694,2013-10-31 11:16:12.000,0,0
1723,2613,2018-06-11 08:11:26.000,0,1
1757,761,2018-08-06 01:24:20.000,1,1
1759,2861,2018-07-11 03:44:34.000,0,1
1795,1598,2017-07-28 06:09:50.000,0,0
1809,1221,2018-08-06 07:19:56.000,1,1
1836,846,2018-06-26 05:16:18.000,0,1
1837,964,2018-08-14 01:05:04.000,1,2
1910,1940,2018-07-05 18:53:16.000,0,4
1931,2502,2017-08-31 15:34:34.000,0,0
1936,1883,2017-10-10 22:04:42.000,0,0
1951,815,2018-04-13 03:11:54.000,0,0
1952,1173,2018-03-27 22:00:08.000,0,0
1953,817,2016-09-25 19:04:50.000,0,0
1958,2118,2017-12-17 05:01:44.000,0,0
1985,3050,2018-08-17 10:16:34.000,1,1
2012,1915,2017-12-17 21:26:14.000,0,0
2021,1892,2018-03-08 19:25:46.000,0,0
2043,2218,2018-05-13 23:59:14.000,0,0
2046,1567,2018-07-16 15:10:06.000,0,1
2047,2249,2018-04-15 11:05:20.000,0,0
2069,906,2018-08-15 15:32:32.000,5,22
2078,872,2017-09-28 21:02:32.000,0,0
2265,1913,2018-04-16 02:11:46.000,0,0
2280,973,2017-04-15 00:22:34.000,0,0
2309,998,2018-05-24 10:22:40.000,0,1
2318,3061,2018-08-20 08:45:34.000,1,1
2334,2831,2018-07-04 02:33:54.000,0,1
2336,1075,2018-05-13 19:16:28.000,0,0
2340,1120,2018-07-08 19:46:14.000,0,1
2371,1672,2017-08-23 17:53:02.000,0,0
2378,1034,2016-01-28 09:52:20.000,0,0
2384,1639,2017-08-20 07:16:16.000,0,0
2396,1019,2013-10-29 21:49:48.000,0,0
2407,1032,2018-07-03 07:29:02.000,1,4
2409,2712,2018-08-17 00:20:10.000,1,2
2446,1068,2018-07-20 11:05:42.000,0,1
2471,1064,2018-06-17 03:14:18.000,0,1
2483,2753,2018-06-19 07:36:08.000,0,1
2491,2907,2017-05-05 23:54:58.000,0,0
2493,1074,2018-07-31 10:20:00.000,1,1
2506,1079,2017-11-20 09:12:52.000,0,0
2696,1610,2018-07-02 02:57:00.000,0,1
2698,1372,2017-08-02 08:09:30.000,0,0
2742,3047,2018-08-16 04:49:56.000,1,1
2776,3012,2018-06-25 20:37:38.000,0,1
2813,3030,2018-08-14 10:17:16.000,1,1
2828,1699,2017-09-03 17:43:52.000,0,0
2863,1196,2018-06-11 02:25:46.000,0,1
2922,2919,2018-07-25 00:55:56.000,2,2
2928,2640,2018-05-17 06:26:30.000,0,1
2930,2774,2018-06-21 10:40:26.000,0,1
2945,1734,2018-07-02 05:02:56.000,0,5
2951,2347,2018-03-02 14:50:48.000,0,0
2952,1241,2016-09-02 07:12:48.000,0,0
2953,1244,2018-06-28 05:46:48.000,0,1
2956,1239,2018-07-30 10:19:12.000,1,1
2959,1872,2018-01-30 08:14:22.000,0,0
2960,1245,2015-07-10 09:56:16.000,0,0
2964,1247,2017-08-22 08:15:04.000,0,0
2968,2583,2018-07-11 08:20:16.000,0,2
2979,1510,2018-07-26 08:51:56.000,1,1
2994,1258,2018-08-02 08:01:54.000,1,1
3001,1263,2017-04-20 09:47:46.000,0,0
3006,1267,2015-08-06 23:17:48.000,0,0
3012,1255,2017-07-01 19:13:28.000,0,0
3013,2500,2018-07-30 01:01:10.000,3,4
3016,1264,2018-07-16 23:34:04.000,0,1
3047,1277,2017-08-31 08:51:24.000,0,0
3054,1475,2017-07-19 10:40:46.000,0,0
3074,2107,2018-02-22 10:35:40.000,0,0
3077,1813,2018-07-23 02:56:30.000,1,1
3086,2557,2018-05-11 08:54:14.000,0,0
3087,1295,2018-07-13 09:46:46.000,0,1
3097,1793,2017-09-17 19:21:06.000,0,0
3126,1580,2018-07-05 05:51:50.000,0,1
3137,1308,2017-05-16 12:35:12.000,0,0
3139,1309,2017-07-01 01:00:38.000,0,0
3151,2923,2018-07-24 12:33:06.000,1,1
3154,2664,2018-05-29 07:08:22.000,0,1
3164,1474,2017-06-15 08:59:16.000,0,0
3165,1319,2018-08-06 08:11:18.000,1,3
3168,2148,2018-01-09 09:58:54.000,0,0
3171,2762,2018-06-20 17:45:36.000,0,1
3180,1322,2015-06-08 08:59:02.000,0,0
3186,1779,2017-09-25 06:23:06.000,0,0
3194,1825,2018-07-07 03:09:36.000,0,2
3199,2737,2018-07-11 08:44:20.000,0,2
3203,1329,2017-06-01 03:44:12.000,0,0
3207,1333,2016-02-08 15:55:00.000,0,0
3211,1336,2016-05-31 01:04:00.000,0,0
3217,1429,2018-02-24 06:27:32.000,0,0
3220,1934,2018-08-19 21:31:40.000,1,1
3225,2709,2018-06-08 00:55:48.000,0,1
3230,2464,2018-04-10 08:18:12.000,0,0
3233,2778,2018-06-27 23:47:24.000,0,2
3236,2911,2018-08-12 05:32:58.000,4,4
3246,2031,2017-11-26 01:59:48.000,0,0
3256,2257,2018-07-02 07:12:52.000,0,1
3264,1346,2018-08-02 01:57:46.000,1,1
3270,3065,2018-08-20 10:55:16.000,1,1
3275,2701,2018-07-10 02:13:28.000,0,2
3288,1520,2017-08-03 08:06:30.000,0,0
3291,1351,2018-07-06 08:51:34.000,0,1
3305,1675,2018-05-12 23:07:32.000,0,1
3323,1374,2015-09-16 21:35:20.000,0,0
3334,2351,2018-06-09 20:05:52.000,0,1
3364,1386,2018-01-26 19:39:48.000,0,0
3374,2736,2018-06-15 02:16:26.000,0,1
3427,1430,2018-07-31 01:44:22.000,2,10
3434,1422,2017-04-12 16:30:14.000,0,0
3436,2034,2017-11-25 03:50:14.000,0,0
3480,2233,2018-01-31 05:55:54.000,0,0
3481,2501,2018-06-07 14:05:36.000,0,1
3500,1481,2018-08-20 04:19:44.000,2,2
3502,1508,2017-06-23 04:28:34.000,0,0
3503,1614,2017-10-23 09:39:38.000,0,0
3508,1718,2015-09-21 12:47:36.000,0,0
3536,1501,2017-03-13 10:32:48.000,0,0
3541,3055,2018-08-19 21:28:52.000,1,1
3543,1786,2018-07-17 15:40:02.000,0,2
3545,2973,2018-08-01 08:19:24.000,1,1
3554,2057,2017-12-18 14:35:56.000,0,0
3585,2924,2018-07-24 02:02:42.000,1,1
3590,2524,2018-05-23 03:27:20.000,0,1
3621,2343,2018-03-01 09:35:50.000,0,0
3636,2247,2018-08-19 19:55:16.000,1,1
3645,2287,2018-02-26 02:54:10.000,0,0
3688,1586,2018-02-06 00:09:46.000,0,0
3694,3009,2018-08-09 00:28:36.000,1,1
3698,2084,2017-12-13 01:19:40.000,0,0
3708,2383,2018-03-14 14:14:26.000,0,0
3731,2495,2018-06-22 02:05:32.000,0,1
3736,2479,2018-07-13 23:26:20.000,0,5
3759,1724,2017-09-19 13:22:30.000,0,0
3768,1874,2018-07-20 09:17:54.000,1,1
3769,1746,2018-03-13 23:25:36.000,0,0
3791,1631,2017-07-25 07:23:42.000,0,0
3810,2352,2018-02-26 07:14:38.000,0,0
3816,2049,2018-05-18 06:53:36.000,0,0
3819,2006,2016-08-11 16:38:54.000,0,0
3831,1649,2017-08-15 15:30:30.000,0,0
3846,2989,2018-08-05 03:26:52.000,1,1
3852,2563,2018-06-19 03:51:28.000,0,1
3862,1864,2017-10-06 08:01:40.000,0,0
3864,2422,2018-05-23 05:42:00.000,0,1
3869,1849,2018-02-06 09:45:40.000,0,0
3871,1861,2018-08-08 05:36:56.000,2,4
3894,1682,2017-12-11 02:17:22.000,0,0
3896,2197,2018-07-26 08:54:28.000,1,1
3902,3003,2018-08-08 00:06:12.000,1,1
3903,2872,2018-07-14 08:24:06.000,0,1
3911,2824,2018-07-04 23:12:38.000,0,1
3934,1702,2018-03-13 11:52:52.000,0,0
3941,1708,2017-06-22 04:17:42.000,0,0
3943,2125,2018-07-04 05:19:48.000,0,3
3953,2943,2018-07-30 00:07:20.000,5,5
3961,1722,2017-09-14 12:54:02.000,0,0
3973,3005,2018-08-07 01:52:56.000,1,1
3995,1972,2018-03-05 07:17:32.000,0,0
4010,2732,2018-06-13 21:55:40.000,0,1
4018,2345,2018-03-01 10:03:42.000,0,0
4021,2303,2018-02-15 09:10:22.000,0,0
4023,2172,2018-08-13 03:40:26.000,2,3
4029,1943,2017-12-27 02:00:16.000,0,0
4030,1758,2018-06-06 13:06:34.000,0,1
4038,1799,2017-10-06 07:03:22.000,0,0
4045,2789,2018-06-25 20:46:18.000,0,1
4050,1959,2018-04-03 04:38:46.000,0,0
4061,1769,2018-07-17 11:57:38.000,0,1
4071,1778,2018-04-10 02:59:50.000,0,0
4073,1782,2018-08-15 07:38:48.000,1,1
4074,1784,2018-01-12 04:11:58.000,0,0
4086,2652,2018-05-24 09:04:50.000,0,1
4108,2054,2017-11-30 08:54:34.000,0,0
4131,2826,2018-08-10 04:53:38.000,5,5
4158,2977,2018-08-02 00:17:28.000,1,1
4169,1912,2017-03-24 08:42:18.000,0,0
4172,2239,2018-01-17 09:32:10.000,0,0
4232,2507,2018-08-20 00:12:44.000,4,10
4239,3034,2018-08-15 06:45:22.000,1,1
4317,3059,2018-08-20 07:18:48.000,1,1
4328,2726,2018-06-11 11:32:44.000,0,1
4331,2816,2018-07-01 23:42:52.000,0,1
4335,2917,2018-07-23 04:57:34.000,1,1
4373,2341,2018-02-26 13:40:08.000,0,0
4378,2390,2018-03-16 08:42:24.000,0,0
4385,2810,2018-08-11 02:41:30.000,5,5
4395,2713,2018-06-07 09:52:22.000,0,1
4427,2511,2018-04-19 12:41:42.000,0,0
4428,2939,2018-07-26 09:08:58.000,2,2
4459,2808,2018-07-03 03:39:14.000,0,5
4463,2105,2017-12-13 16:26:12.000,0,0
4505,3024,2018-08-09 16:42:38.000,1,1
4506,2890,2016-02-23 09:46:48.000,0,0
4517,2117,2017-12-20 03:13:36.000,0,0
4519,2733,2018-06-13 07:11:58.000,0,1
4526,2003,2016-08-18 18:51:02.000,0,0
4530,2013,2017-10-06 07:57:20.000,0,0
4576,2809,2018-08-18 06:30:04.000,2,5
4579,2028,2017-10-14 07:39:04.000,0,0
4588,2978,2018-08-01 06:38:34.000,1,1
4624,2805,2018-07-11 11:06:06.000,0,5
4635,3056,2018-08-17 15:27:04.000,1,1
4646,2215,2018-06-02 08:03:30.000,0,1
4648,2549,2018-06-27 22:32:22.000,0,1
4660,3063,2018-08-20 10:30:34.000,1,1
4661,2980,2018-08-02 16:26:12.000,1,1
4666,2647,2018-05-24 09:04:56.000,0,1
4672,2400,2018-07-26 10:33:36.000,2,5
4675,2940,2018-07-30 12:17:24.000,3,3
4681,2799,2018-07-11 11:05:30.000,0,4
4701,2096,2018-08-20 05:58:42.000,1,1
4746,2499,2018-08-07 12:41:00.000,3,4
4783,2142,2018-08-14 05:43:50.000,1,2
4793,2410,2018-05-21 00:00:32.000,0,0
4797,2173,2018-08-14 02:36:18.000,5,5
4801,2851,2018-08-06 14:57:32.000,1,2
4847,2666,2018-05-30 00:22:10.000,0,1
4899,2191,2018-05-21 13:22:28.000,0,0
4921,2357,2018-03-06 05:38:48.000,0,0
4922,2198,2018-07-18 06:04:26.000,0,5
4925,2210,2017-03-14 17:57:08.000,0,0
4928,2200,2018-05-24 07:34:18.000,0,2
5017,2235,2017-02-17 10:01:26.000,0,0
5112,2585,2018-07-09 02:35:48.000,0,1
5196,2358,2014-11-22 19:05:18.000,0,0
5262,2414,2018-03-22 16:28:50.000,0,0
5301,2432,2018-04-12 18:28:52.000,0,0
5339,2459,2017-02-10 10:35:30.000,0,0
5395,3014,2018-08-09 10:12:32.000,1,1
5449,2506,2018-06-12 10:12:16.000,0,1
5456,2509,2018-06-27 02:51:28.000,0,2
5513,2771,2018-06-21 08:30:00.000,0,1
5533,3060,2018-08-20 08:03:02.000,1,1
5542,2531,2018-03-20 07:54:56.000,0,0
5544,2535,2017-10-20 13:59:38.000,0,0
5560,2729,2018-05-28 02:07:44.000,0,2
5562,2724,2018-08-15 01:46:14.000,4,8
5635,3067,2018-08-20 07:05:40.000,1,1
5644,2553,2017-08-24 02:15:52.000,0,0
5649,2820,2018-07-04 01:56:30.000,0,1
5662,2565,2018-08-10 01:02:46.000,2,12
5674,2578,2016-02-09 13:45:00.000,0,0
5691,2779,2018-06-19 00:35:38.000,0,1
5692,2582,2017-12-15 08:26:18.000,0,0
5721,2589,2018-07-09 12:59:54.000,0,1
5727,2591,2018-05-03 13:32:06.000,0,0
5754,2658,2018-07-30 21:33:02.000,2,5
5762,2601,2017-10-12 00:00:14.000,0,0
5769,2610,2018-04-10 03:02:36.000,0,0
5805,2635,2018-03-26 19:19:00.000,0,0
5816,2645,2014-11-25 01:55:00.000,0,0
5878,2669,2016-10-24 17:45:22.000,0,0
5977,2818,2018-07-03 02:05:20.000,0,1
5991,2891,2018-07-17 12:19:46.000,0,1
5999,2769,2018-05-30 11:03:46.000,0,1
6065,2783,2018-08-16 06:45:12.000,4,5
6080,3027,2018-08-15 04:11:20.000,2,2
6149,2817,2017-04-21 01:29:24.000,0,0
6209,2949,2018-07-25 13:40:14.000,1,1
6232,2941,2018-03-09 11:15:30.000,0,0
6237,2947,2018-07-30 09:33:40.000,1,1
6245,2855,2017-11-07 03:26:58.000,0,0
6254,2865,2018-02-20 09:01:56.000,0,0
6273,2894,2017-04-29 11:11:24.000,0,0
6304,2992,2018-03-19 05:21:36.000,0,0
6306,3008,2018-04-23 08:17:30.000,0,0
6335,2902,2018-04-02 09:25:48.000,0,0
6341,2975,2018-08-01 06:14:34.000,1,1
6359,2929,2018-01-31 20:20:04.000,0,0
6364,3013,2018-08-09 07:59:32.000,1,1
6412,2945,2017-10-19 17:43:52.000,0,0
6439,2957,2018-02-21 13:18:28.000,0,0
6448,2948,2018-07-24 08:57:46.000,1,3
6475,2990,2018-05-21 07:06:16.000,0,0
6537,3025,2017-01-18 12:14:40.000,0,0
6547,3051,2018-07-02 22:02:22.000,0,1
6551,3036,2018-08-13 09:05:30.000,9,50
6556,3039,2012-09-28 10:06:44.000,0,0
6557,3040,2018-08-14 09:03:40.000,10,50
6558,3041,2018-08-16 09:06:42.000,10,50
6559,3042,2016-10-05 19:07:30.000,0,0
6560,3043,2018-08-13 09:08:42.000,9,50
